,start,end,who_said,line,similar_line,similarity,similarity_category
147,"00:13:53,000","00:13:54,889",JARVIS,Approach vector is locked.,Approach vector is locked,1.0,100%
148,"00:13:55,040","00:13:57,441",Tony Stark,"Feels good, yeah?","It feels good, yeah",0.87,80% - 89%
149,"00:13:57,560","00:13:59,642",Tony Stark,"I mean, you've been after this thing since S.H.I.E.L.D. collapsed.","I mean, you've been after this thing since SHIELD collapsed",0.99,90% - 99%
150,"00:13:59,760","00:14:01,808",Tony Stark,"Not that I haven't enjoyed our little raiding parties, but...","Not that I haven't enjoyed our little raiding parties, but",1.0,100%
151,"00:14:01,920","00:14:04,321",Thor,"No, but this... This brings it to a close.",this brings it to a close,0.95,90% - 99%
152,"00:14:05,080","00:14:06,923",Steve Rogers,As soon as we find out what else this has been used for.,As soon as we find out what else this has been used for,1.0,100%
153,"00:14:07,080","00:14:08,286",Steve Rogers,I don't just mean weapons.,I don't just mean weapons,1.0,100%
154,"00:14:08,800","00:14:11,121",Steve Rogers,Since when is Strucker capable of human enhancement?,Since when is Strucker capable of human enhancement,1.0,100%
155,"00:14:11,280","00:14:13,521",Tony Stark,Banner and I will give it the once over before it goes back to Asgard.,Banner and I'll give it the once before it goes back to Asgard,0.99,90% - 99%
156,"00:14:13,640","00:14:14,687",Tony Stark,Is that cool with you?,Is that cool with you,1.0,100%
157,"00:14:14,760","00:14:16,808",Tony Stark,Just a few days till the farewell party.,"I mean, just a few days until the farewell party",0.93,90% - 99%
158,"00:14:17,360","00:14:19,089",Tony Stark,"You're staying, right?",You're staying right,1.0,100%
159,"00:14:19,200","00:14:21,931",Thor,"Yes, yes, of course. A victory should be honoured with revels.",A victory should be honored with revels,0.93,90% - 99%
160,"00:14:22,040","00:14:24,805",Tony Stark,"Yeah, who doesn't love revels? Captain?",Who doesn't love revels,0.96,90% - 99%
161,"00:14:24,960","00:14:27,850",Steve Rogers,Hopefully this puts an end to the Chitauri and Hydra.,"Hopefully this puts an end to the Chitauri and HYDRA, so",0.98,90% - 99%
162,"00:14:27,960","00:14:29,564",Steve Rogers,"So, yes, revels.","Yes, revels",0.75,< 80%
163,"00:15:03,640","00:15:04,687",Maria Hill,"Lab's all set up, boss.","Lab's all set up, boss",1.0,100%
164,"00:15:04,840","00:15:05,966",Tony Stark,"Actually, he's the boss.","Uh, actually, he's the boss",0.93,90% - 99%
165,"00:15:06,080","00:15:08,481",Tony Stark,I just pay for everything and design everything,"I just pay for everything, and design everything and make everyone look cooler",0.96,90% - 99%
166,"00:15:08,640","00:15:10,165",Tony Stark,and make everyone look cooler.,"I just pay for everything, and design everything and make everyone look cooler",0.89,80% - 89%
167,"00:15:10,320","00:15:11,685",Steve Rogers,What's the word on Strucker?,What's the word on Strucker,1.0,100%
168,"00:15:11,800","00:15:13,848",Maria Hill,NATO's got him.,NATO's got him,1.0,100%
169,"00:15:11,800","00:15:13,848",Steve Rogers,The two Enhanced?,The two enhanced,1.0,100%
170,"00:15:13,960","00:15:16,566",Maria Hill,Wanda and Pietro Maximoff. Twins.,Wanda and Pietro Maximoff,0.9,90% - 99%
171,"00:15:16,680","00:15:19,524",Maria Hill,Orphaned at 10 when a shell collapsed their apartment building.,Orphaned at ten when a shell collapsed their apartment building,0.95,90% - 99%
172,"00:15:19,880","00:15:22,167",Maria Hill,Sokovia's had a rough history.,Sokovia's had a rough history,1.0,100%
173,"00:15:22,320","00:15:25,722",Maria Hill,"It's nowhere special, but it's on the way to everywhere special.",It's nowhere special but it's on the way to everywhere special,1.0,100%
174,"00:15:25,840","00:15:27,001",Steve Rogers,Their abilities?,Their abilities,1.0,100%
175,"00:15:27,120","00:15:29,964",Maria Hill,He's got increased metabolism and improved thermal homeostasis.,He's got increased metabolism and improved thermal homeostasis,1.0,100%
176,"00:15:30,120","00:15:34,402",Maria Hill,"Her thing is neuroelectric interfacing, telekinesis, mental manipulation.","Her thing is neural electric interfacing, telekinesis, mental manipulation",0.97,90% - 99%
177,"00:15:35,160","00:15:36,650",Maria Hill,He's fast and she's weird.,He's fast and she's weird,1.0,100%
