,speakers,captions,lines
613,Ultron,"[""In Thor's visions;""]",Extinction.
614,Dr. Helen Cho,,"Cellular cohesion will take a few hours, but we can initiate the consciousness stream. We're uploading your cerebral matrix...now."
615,Wanda Maximoff,,I can read him. He is dreaming.
616,Dr. Helen Cho,,"I wouldn't call it dreams. It's Ultron's base consciousness, informational noise. Soon..."
617,Ultron,,How soon? I'm not being pushy.
618,Dr. Helen Cho,,We're imprinting a physical brain. There are no shortcuts. Even if your magic gem is...
619,Wanda Maximoff,,How could you?
620,Ultron,,How could I what?
621,Wanda Maximoff,,"You said we would destroy the Avengers, make a better world."
622,Ultron,,It will be better.
623,Wanda Maximoff,,When everyone is dead.
624,Ultron,,That is not-- The human race will have every opportunity to improve.
625,Pietro Maximoff,,And if they don't?
626,Ultron,,Ask Noah.
627,Wanda Maximoff,,You're a madman.
628,Ultron,,"There were more than a dozen extinction level events before even the dinosaurs got theirs. When the Earth starts to settle, God throws a stone at it, and believe me, he's winding up. We have to evolve. There's no room for the weak."
629,Pietro Maximoff,,And who decides who's weak?
630,Ultron,,Life. Life always decides. There's incoming. The Quinjet. We have to move.
631,Dr. Helen Cho,"[""Cho cancels the upload to Ultron's consciousness""]",That's not a problem.
632,Ultron,"['Ultron blasts Cho, Wanda and Pietro run off', ""he blasts Cho's technicians"", 'unplugs himself from the Cradle']","Ugh.  Ah, wait, guys!  They'll understand. When they see they'll understand. I just need a little more time."
633,Steve Rogers,"['Steve is on U-Gin Genetic Research Lab roof; to the others', 'inside the lab Steve finds Cho wounded']",Two minutes. Stay close.  Dr. Cho!
634,Dr. Helen Cho,,He's uploading himself into the body.
635,Steve Rogers,,Where?
636,Dr. Helen Cho,,"The real power is inside the Cradle. The gem, its power is uncontainable. You can't just blow it up. You have to get the Cradle to Stark."
637,Steve Rogers,,First I have to find it.
638,Dr. Helen Cho,,Go.
639,Steve Rogers,['over the Quinjetâ€™s comms'],Did you guys copy that?
640,Clint Barton,,We did.
641,Natasha Romanoff,,"I got a private jet taking off, across town, no manifest. That could be him."
642,Clint Barton,['noticing a truck heading across a bridge'],"There. It's a truck from the lab. Right above you, Cap. On the loop by the bridge. It's them. I got three with the Cradle, one in the cab. I could take out the driver."
643,Steve Rogers,['Steve jumps onto the roof of the truck'],"Negative! If that truck crashes, the gem could level the city. We need to draw out Ultron."
644,Ultron,,"No, no, no, no, no. Leave me alone!"
645,Steve Rogers,['Ultron blasts the truck door as Steve tries to enter'],"Well, he's definitely unhappy! I'm gonna try and keep him that way."
646,Clint Barton,,"You're not a match for him, Cap."
647,Steve Rogers,"[""Ultron unplugs himself from the Cradle and blasts Steve back onto another car as he tries to enter the truck, but with some maneuvering Steve manages to get back onto the truck's roof""]","Thanks, Barton."
648,Ultron,,"You know what's in that Cradle? The power to make real change, and that terrifies you."
649,Steve Rogers,['Steve tries to fight with Ultron'],I wouldn't call it a comfort.
650,Ultron,"['Steveâ€™s shield gets caught in his chest, and he smacks it away and fires at Steve']",Stop it!
651,Clint Barton,['to Natasha'],"We got a window. Four, threeâ€¦ give 'em hell."
652,Natasha Romanoff,,I'm always picking up after you boys.
653,Clint Barton,,"They're heading under the overpass, I've got no shot."
654,Natasha Romanoff,,Which way?
655,Clint Barton,['Natasha heads over the truck. She throws Steve back his shield and he uses it to knock Ultron away from him'],Hard right... Now.
656,Natasha Romanoff,['to the pedestrians on the pavement as she chases after the truck on her bike'],"Out of the way, coming through! Sorry, coming through!"
657,Steve Rogers,['Steve continues his battle with Ultron on top of the truck'],Come on!
658,Natasha Romanoff,,"Clint, can you draw out the guards?"
659,Clint Barton,,Let's find out.
660,Natasha Romanoff,['to the pedestrians in her way'],Beep beep!
661,Clint Barton,,"Heading back towards you. So whatever youâ€™re gonna do, do it now."
662,Natasha Romanoff,,"I'm going in. Cap, can you keep him occupied?"
663,Steve Rogers,['as he continues his battle with Ultron on a speeding train'],What do you think I've been doing?
664,Clint Barton,,The package is airborne. I have a clean shot.
665,Natasha Romanoff,,Negative. I am still in the truck.
666,Clint Barton,,What the hell are you...?
667,Natasha Romanoff,,"Just be ready, I'm sending the package to you."
668,Clint Barton,,How do you want me to take it?
669,Natasha Romanoff,,"Uhh, you might wish you hadn't asked that."
670,Ultron,,Please. Don't do this.
671,Wanda Maximoff,,What choice do we have?
672,Steve Rogers,,I lost him! He's headed your way!
673,Clint Barton,,"Nat, we gotta go."
674,Clint Barton,,"Nat! Cap, you see Nat?"
675,Steve Rogers,,"If you have the package, get it to Stark! Go!"
676,Clint Barton,,Do you have eyes on Nat?
677,Steve Rogers,"['reluctantly Barton takes off in the Quinjet; back to the train', 'Pietro speeds off; to Wanda', 'as Pietro picks up civilians and moves them out of the way of the train, Wanda uses her powers and stops the train']",Go!  Civilians in our path.  Can you stop this thing?
678,Pietro Maximoff,,I'm fine. I just need to take a minute.
679,Steve Rogers,,I'm very tempted not to give you one.
680,Wanda Maximoff,,"The Cradle, did you get it?"
681,Steve Rogers,,Stark will take care of it.
682,Wanda Maximoff,,"No, he won't."
683,Steve Rogers,,"You don't know what you're talking about, Stark's not crazy."
684,Wanda Maximoff,,He will do anything to make things right.
685,Steve Rogers,,"Stark, come in. Stark. Anyone on comms?"
686,Wanda Maximoff,,Ultron can't tell the difference between saving the world and destroying it. Where do you think he gets that?
687,Bruce Banner,,Anything on Nat?
688,Tony Stark,,"Haven't heard. But she's alive, or Ultron'd be rubbing our faces in it."
689,Clint Barton,,This is sealed tight.
690,Bruce Banner,,"We're going to need to access the program, break it down from within."
691,Tony Stark,,"Hm. Any chance Natasha might leave you a message, outside the internet, old school spy stuff?"
692,Clint Barton,['Barton leaves'],"There's some nets I can cast. Yeah, alright. I'll find her."
693,Bruce Banner,,"I can work on tissue degeneration, if you can fry whatever operational system Cho implanted."
694,Tony Stark,,"Yeah, about that."
695,Bruce Banner,['Banner looks at Stark'],No.
696,Tony Stark,,You have to trust me.
697,Bruce Banner,,Kinda don't.
698,Tony Stark,"[""he brings up the 3D image of Jarvis's consciousness""]",Our ally? The guy protecting the military's nuclear codes? I found him.
699,JARVIS,,"Hello, Dr. Banner."
700,Tony Stark,,"Ultron didn't go after JARVIS cause he was angry. He attacked him because he was scared of what he can do. So JARVIS went underground. Okay? Scattered, dumped his memory. But not his protocols. He didn't even know he was in there, until I pieced him together."
701,Bruce Banner,,"So, you want me to help you put JARVIS into this thing?"
702,Tony Stark,['Banner shakes his head'],"No, of course not! I want to help you put JARVIS in this thing.  We're out of my field here. You know bio-organics better than anyone."
703,Bruce Banner,,And you just assume that JARVIS' operational matrix can beat Ultron's?
704,Tony Stark,,"JARVIS has been beating him from inside without knowing it. This is the opportunity, we can create Ultron's perfect self, without the homicidal glitches he thinks are his winning personality. We have to."
705,JARVIS,,I believe it's worth a go.
706,Bruce Banner,,"No, I'm in a loop! I'm caught in a time loop, this is exactly where it all went wrong."
707,Tony Stark,['Banner shakes his head'],"I know, I know. I know what everyone's going to say, but they're already saying it. We're mad scientists. We're monsters, buddy. You gotta own it. Make a stand.  It's not a loop. It's the end of the line."
708,Ultron,"['as Natasha becomes conscious', ""a bigger body of Ultron's destroys him"", 'he locks Natasha in a cell']","I wasn't sure you'd wake up. I hoped you would, I wanted to show you something. I don't have anyone else. I think a lot about meteors, the purity of them. Boom! The end, start again. The world made clean for the new man to rebuild. I was meant to be new. I was meant to be beautiful. The world would've looked to the sky and seen hope, seen mercy. Instead they'll look up in horror because of you. You've wounded me. I give you full marks for that. But, like the man said, ""What doesn't kill meâ€¦""  ""â€¦just makes me stronger."""
709,Tony Stark,,This framework is not compatible.
710,Bruce Banner,,The genetic coding tower's at ninety-seven percent. You have got to upload that schematic in the next three minutes.
711,Steve Rogers,,I'm gonna say this once.
712,Tony Stark,,"How about ""nonce""?"
713,Steve Rogers,,Shut it down!
714,Tony Stark,,"Nope, not gonna happen."
715,Steve Rogers,,You don't know what you're doing.
716,Bruce Banner,,And you do? She's not in your head?
717,Wanda Maximoff,,I know you're angry.
718,Bruce Banner,,"Oh, we're way past that. I could choke the life out of you and never change a shade."
719,Steve Rogers,,"Banner, after everything that's happened--"
720,Tony Stark,,That's nothing compared to what's coming!
721,Wanda Maximoff,,You don't know what's in there!
722,Steve Rogers,,This isn't a game--
723,Wanda Maximoff,,The creature--
