,start,end,who_said,line,similarity,similar_line
153,"00:14:07,080","00:14:08,286",Steve Rogers,I don't just mean weapons.,0.98,I don't just mean weapons
154,"00:14:08,800","00:14:11,121",Steve Rogers,Since when is Strucker capable of human enhancement?,0.97,Since when is Strucker capable of human enhancement
155,"00:14:11,280","00:14:13,521",Tony Stark,Banner and I will give it the once over before it goes back to Asgard.,0.98,Banner and I'll give it the once before it goes back to Asgard
156,"00:14:13,640","00:14:14,687",Tony Stark,Is that cool with you?,0.96,Is that cool with you
157,"00:14:14,760","00:14:16,808",Tony Stark,Just a few days till the farewell party.,0.91,"I mean, just a few days until the farewell party"
158,"00:14:17,360","00:14:19,089",Tony Stark,"You're staying, right?",0.93,You're staying right
159,"00:14:19,200","00:14:21,931",Thor,"Yes, yes, of course. A victory should be honoured with revels.",0.82,"Yes, yes, of course"
160,"00:14:22,040","00:14:24,805",Tony Stark,"Yeah, who doesn't love revels? Captain?",0.87,Who doesn't love revels
161,"00:14:24,960","00:14:27,850",Steve Rogers,Hopefully this puts an end to the Chitauri and Hydra.,0.96,"Hopefully this puts an end to the Chitauri and HYDRA, so"
162,"00:14:27,960","00:14:29,564",Steve Rogers,"So, yes, revels.",0.89,"Yes, revels"
163,"00:15:03,640","00:15:04,687",Maria Hill,"Lab's all set up, boss.",0.98,"Lab's all set up, boss"
164,"00:15:04,840","00:15:05,966",Tony Stark,"Actually, he's the boss.",0.95,"Uh, actually, he's the boss"
165,"00:15:06,080","00:15:08,481",Tony Stark,I just pay for everything and design everything,0.96,"I just pay for everything, and design everything and make everyone look cooler"
166,"00:15:08,640","00:15:10,165",Tony Stark,and make everyone look cooler.,0.89,"I just pay for everything, and design everything and make everyone look cooler"
167,"00:15:10,320","00:15:11,685",Steve Rogers,What's the word on Strucker?,0.96,What's the word on Strucker
168,"00:15:11,800","00:15:13,848",Maria Hill,NATO's got him.,0.96,NATO's got him
169,"00:15:11,800","00:15:13,848",Steve Rogers,The two Enhanced?,0.89,The two enhanced
170,"00:15:13,960","00:15:16,566",Maria Hill,Wanda and Pietro Maximoff. Twins.,0.75,Wanda and Pietro Maximoff
171,"00:15:16,680","00:15:19,524",Maria Hill,Orphaned at 10 when a shell collapsed their apartment building.,0.95,Orphaned at ten when a shell collapsed their apartment building
172,"00:15:19,880","00:15:22,167",Maria Hill,Sokovia's had a rough history.,0.98,Sokovia's had a rough history
173,"00:15:22,320","00:15:25,722",Maria Hill,"It's nowhere special, but it's on the way to everywhere special.",0.99,It's nowhere special but it's on the way to everywhere special
174,"00:15:25,840","00:15:27,001",Steve Rogers,Their abilities?,0.74,Their abilities
175,"00:15:27,120","00:15:29,964",Maria Hill,He's got increased metabolism and improved thermal homeostasis.,0.99,He's got increased metabolism and improved thermal homeostasis
176,"00:15:30,120","00:15:34,402",Maria Hill,"Her thing is neuroelectric interfacing, telekinesis, mental manipulation.",0.97,"Her thing is neural electric interfacing, telekinesis, mental manipulation"
177,"00:15:35,160","00:15:36,650",Maria Hill,He's fast and she's weird.,0.99,He's fast and she's weird
178,"00:15:37,480","00:15:39,562",Steve Rogers,"Well, they're gonna show up again.",0.88,"Well, they're going to show up again"
179,"00:15:39,680","00:15:43,529",Maria Hill,Agreed. File says they volunteered for Strucker's experiments.,0.91,File says they volunteered for Strucker's experiments
180,"00:15:43,640","00:15:45,529",Maria Hill,It's nuts.,0.95,It's nuts
181,"00:15:43,640","00:15:45,529",Steve Rogers,Right.,0.63,Right
182,"00:15:45,680","00:15:48,843",Steve Rogers,What kind of monster would let a German scientist experiment on them,0.95,What kind of monster would let a German scientist experiment on them to protect their country
183,"00:15:48,960","00:15:50,200",Steve Rogers,to protect their country?,0.84,What kind of monster would let a German scientist experiment on them to protect their country
184,"00:15:50,360","00:15:52,089",Maria Hill,"We're not at war, Captain.",0.98,"We're not at war, Captain"
185,"00:15:52,880","00:15:53,927",Steve Rogers,They are.,0.91,They are
186,"00:16:24,040","00:16:25,371",Bruce Banner,How's he doing?,0.96,How's he doing
187,"00:16:25,480","00:16:26,800",Tony Stark,"Unfortunately, he's still Barton.",0.94,"Oh, unfortunately, he's still Barton"
188,"00:16:26,920","00:16:28,206",Bruce Banner,That's terrible.,0.93,That's terrible
189,"00:16:28,360","00:16:29,930",Tony Stark,He's fine. He's thirsty.,0.94,He's fine
190,"00:16:30,040","00:16:32,930",Tony Stark,"All right. Look alive, Jarvis.",0.8,"Look alive, JARVIS"
191,"00:16:30,040","00:16:32,930",Tony Stark,It's playtime.,0.93,It's play time
192,"00:16:33,040","00:16:37,083",Tony Stark,"We've only got a couple of days with this joystick, so let's make the most of it.",0.98,We've only got a couple days with this joystick so let's make the most of it
193,"00:16:37,240","00:16:40,767",Tony Stark,Update me on the structural and compositional analysis.,0.99,Update me on the structural and compositional analysis
194,"00:16:41,920","00:16:43,922",JARVIS,The sceptre is alien.,0.9,The scepter is alien
195,"00:16:44,080","00:16:46,082",JARVIS,There are elements I can't quantify.,0.98,There are elements I can't quantify
196,"00:16:46,200","00:16:47,611",Tony Stark,So there's elements you can?,0.98,So there's elements you can
197,"00:16:47,760","00:16:49,762",JARVIS,The jewel appears to be a protective housing,0.98,The jewel appears to be a protective housing for something inside
198,"00:16:49,880","00:16:52,771",JARVIS,"for something inside, something powerful.",0.77,The jewel appears to be a protective housing for something inside
199,"00:16:52,880","00:16:53,961",Tony Stark,Like a reactor?,0.9,Like a reactor
200,"00:16:54,080","00:16:55,320",JARVIS,Like a computer.,0.93,Like a computer
201,"00:16:55,440","00:16:57,602",JARVIS,I believe I'm deciphering code.,0.98,I believe I'm deciphering code
202,"00:16:59,920","00:17:01,490",Natasha Romanoff,Are you sure he's gonna be okay?,0.84,You sure he's going to be okay
203,"00:17:02,800","00:17:05,160",Natasha Romanoff,Pretending to need this guy really brings the team together.,0.99,Pretending to need this guy really brings the team together
204,"00:17:05,280","00:17:07,760",Dr. Helen Cho,There's no possibility of deterioration.,0.99,There's no possibility of deterioration
205,"00:17:07,960","00:17:11,043",Dr. Helen Cho,The nanomolecular functionality is instantaneous.,0.96,The nanomolecular functionality is instantaneous
206,"00:17:11,160","00:17:13,200",Dr. Helen Cho,His cells don't know they're bonding with simulacra.,0.99,His cells don't know they're bonding with simulacrum
207,"00:17:13,280","00:17:15,169",Bruce Banner,She's creating tissue.,0.96,She's creating tissue
208,"00:17:15,280","00:17:19,406",Dr. Helen Cho,"If you brought him to my lab, the Regeneration Cradle could do this in 20 minutes.",0.98,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes"
209,"00:17:19,520","00:17:21,443",Bruce Banner,He's flatlining. Call it. Time?,0.73,She's creating tissue
210,"00:17:21,640","00:17:24,007",Clint Barton,"No, no, no, I'm gonna live forever.",0.8,"No, no, no"
211,"00:17:24,120","00:17:27,131",Clint Barton,I'm gonna be made of plastic.,0.99,I'm gonna be made of plastic
212,"00:17:24,120","00:17:27,131",Tony Stark,Here's your beverage.,0.95,Here's your beverage
213,"00:17:27,240","00:17:28,969",Dr. Helen Cho,"You'll be made of you, Mr Barton.",0.99,"You'll be made of you, Mr"
214,"00:17:29,120","00:17:30,690",Dr. Helen Cho,Your own girlfriend won't be able to tell the difference.,0.99,Your own girlfriend won't be able to tell the difference
215,"00:17:30,800","00:17:31,926",Clint Barton,I don't have a girlfriend.,0.97,"Well, I don't have a girlfriend"
216,"00:17:32,040","00:17:33,326",Dr. Helen Cho,That I can't fix.,0.98,That I can't fix
217,"00:17:34,160","00:17:36,128",Dr. Helen Cho,"This is the next thing, Tony.",0.98,"This is the next thing, Tony"
218,"00:17:36,320","00:17:38,440",Dr. Helen Cho,Your clunky metal suits are gonna be left in the dust.,0.89,Your clunky metal suits are going to be left in the dust
219,"00:17:38,480","00:17:40,209",Tony Stark,That is exactly the plan.,0.93,"Well, that is exactly the plan"
220,"00:17:41,160","00:17:44,004",Tony Stark,"And, Helen, I expect to see you at the party on Saturday.",0.99,"And Helen, I expect to see you at the party on Saturday"
221,"00:17:44,160","00:17:46,561",Dr. Helen Cho,"Unlike you, I don't have a lot of time for parties.",1.0,"Unlike you, I don't have a lot of time for parties"
222,"00:17:48,040","00:17:49,804",Dr. Helen Cho,Will Thor be there?,0.93,Will Thor be there
223,"00:17:51,880","00:17:54,326",Bruce Banner,What's the rumpus?,0.93,What's the rumpus
224,"00:17:51,880","00:17:54,326",Tony Stark,"Well, the sceptre.",0.9,"Well, the scepter"
225,"00:17:55,520","00:17:59,127",Tony Stark,"You see, we were wondering how Strucker got so inventive.",0.99,"You see, we were wondering how Strucker got so inventive"
226,"00:17:59,240","00:18:03,165",Tony Stark,So I've been analysing the gem inside.,0.81,"You see, we were wondering how Strucker got so inventive"
227,"00:18:03,720","00:18:05,688",Dr. Helen Cho,You may recognise...,0.77,Your own girlfriend won't be able to tell the difference
228,"00:18:07,160","00:18:08,525",Tony Stark,Jarvis.,0.47,"Well, the scepter"
229,"00:18:07,160","00:18:08,525",JARVIS,Doctor.,0.5,Doctor
230,"00:18:09,280","00:18:12,602",Tony Stark,"Started out, Jarvis was just a natural language UI.",0.99,"Started out, JARVIS was just a natural language UI"
231,"00:18:12,720","00:18:13,840",Tony Stark,Now he runs the Iron Legion.,0.96,Now he runs the Iron Legion
232,"00:18:14,320","00:18:18,007",Tony Stark,He runs more of the business than anyone besides Pepper.,0.99,He runs more of the business than anyone besides Pepper
233,"00:18:18,120","00:18:19,246",Tony Stark,Top of the line.,0.97,Top of the line
234,"00:18:18,120","00:18:19,246",Bruce Banner,Yes.,0.62,Yes
235,"00:18:19,360","00:18:20,646",JARVIS,I suspect not for long.,0.97,I suspect not for long
236,"00:18:21,840","00:18:22,921",Tony Stark,Meet the competition.,0.91,Meet the competition
237,"00:18:29,040","00:18:30,201",Bruce Banner,It's beautiful.,0.95,It's beautiful
238,"00:18:29,040","00:18:33,324",Tony Stark,"If you had to guess, what's it look like it's doing?",1.0,"If you had to guess, what's it look like it's doing"
239,"00:18:30,320","00:18:33,324",Bruce Banner,Like it's thinking.,0.96,Like it's thinking
240,"00:18:34,080","00:18:35,889",Bruce Banner,"I mean, this could be...",0.92,I mean this could be a
241,"00:18:36,320","00:18:38,402",Bruce Banner,It's not a human mind.,0.92,"it's not a human mind, it"
242,"00:18:38,640","00:18:40,529",Bruce Banner,"I mean, look at this.",0.98,"I mean, look at this"
243,"00:18:40,720","00:18:42,882",Bruce Banner,They're like neurons firing.,0.96,They're like neurons firing
244,"00:18:43,480","00:18:46,563",Tony Stark,"Down in Strucker's lab, I saw some fairly advanced robotics work.",0.98,Down in Strucker's lab I saw some fairly advanced robotics work
245,"00:18:47,680","00:18:53,489",Tony Stark,"They deepsixed the data, but I gotta guess he was knocking on a very particular door.",0.94,I gotta guess he was knocking on a very particular door
246,"00:18:55,440","00:18:56,771",Bruce Banner,Artificial intelligence.,0.82,Artificial intelligence
247,"00:18:59,760","00:19:02,650",Tony Stark,"This could be it, Bruce.",0.98,"This could be it, Bruce"
248,"00:18:59,760","00:19:02,650",Tony Stark,This could be the key to creating Ultron.,0.99,This could be the key to creating Ultron
249,"00:19:05,280","00:19:06,611",Bruce Banner,I thought Ultron was a fantasy.,0.98,I thought Ultron was a fantasy
250,"00:19:06,720","00:19:08,006",Tony Stark,Yesterday it was.,0.93,Yesterday it was
251,"00:19:09,120","00:19:13,328",Tony Stark,"If we can harness this power, apply it to my Iron Legion protocol?",0.99,"If we can harness this power, apply it to my Iron Legion protocol"
252,"00:19:14,120","00:19:16,088",Bruce Banner,That's a mansized if.,0.97,That's a madsized if
253,"00:19:16,240","00:19:18,561",Tony Stark,Our job is if.,0.97,Our job is if
254,"00:19:18,680","00:19:23,926",Tony Stark,"What if you were sipping margaritas on a sundrenched beach, turning brown instead of green?",0.99,What if you were sipping margaritas on a sundrenched beach turning brown instead of green
255,"00:19:24,080","00:19:26,367",Tony Stark,Not looking over your shoulder for Veronica.,0.97,Not looking over your shoulder for VERONICA
256,"00:19:26,560","00:19:28,130",Bruce Banner,Don't hate. I helped design Veronica.,0.94,"Don't hate, I helped design VERONICA"
257,"00:19:28,240","00:19:30,049",Tony Stark,"As a worstcase measure, right?",0.96,"As a worstcase measure, right"
258,"00:19:30,160","00:19:31,764",Tony Stark,How about a best case?,0.88,How about a bestcase
259,"00:19:31,880","00:19:33,803",Tony Stark,What if the world was safe?,0.97,What if the world was safe
260,"00:19:33,960","00:19:38,770",Tony Stark,"What if, next time aliens roll up to the club, and they will, they couldn't get past the bouncer?",1.0,"What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer"
261,"00:19:38,920","00:19:42,322",Bruce Banner,The only people threatening the planet would be people.,0.99,The only people threatening the planet would be people
262,"00:19:42,440","00:19:44,120",Tony Stark,I want to apply this to the Ultron program.,0.99,I want to apply this to the Ultron program
263,"00:19:44,760","00:19:47,604",Tony Stark,But Jarvis can't download a data schematic this dense.,0.99,But JARVIS can't download a data schematic this dense
264,"00:19:47,760","00:19:49,680",Tony Stark,We can only do it while we have the sceptre here.,0.93,"We can only do it while we have the scepter here, that's three days, give me three days"
