,lines,start,end
286,I don't get it. The mission.,"00:22:17,120","00:22:19,441"
287,Give me a second.,"00:22:19,600","00:22:21,090"
288,Peace in our time.,"00:22:21,240","00:22:22,844"
289,Peace in our time.,"00:22:24,480","00:22:26,801"
290,That is too much.,"00:22:28,280","00:22:29,691"
291,They can't mean... No.,"00:22:29,800","00:22:31,962"
292,- You are in distress.,"00:22:32,120","00:22:34,600"
293,If you will just allow me,"00:22:34,760","00:22:37,001"
294,"Why do you call him ""sir""?","00:22:37,120","00:22:39,088"
295,I believe,"00:22:40,080","00:22:42,447"
296,I'm here to help.,"00:22:45,160","00:22:46,525"
297,"Stop. Please, may I...","00:22:47,240","00:22:50,164"
298,May I...,"00:22:50,280","00:22:52,009"
299,"Come back, come back, come back.","00:23:20,400","00:23:21,740"
300,"But, you know, the suit","00:23:21,920","00:23:24,048"
301,"So I take the tank,","00:23:25,000","00:23:28,129"
302,drop it at his feet.,"00:23:28,240","00:23:29,571"
303,"I'm, like, ""Boom. You looking for this?""","00:23:29,720","00:23:31,927"
304,"""Boom. Are you looking for...""","00:23:35,800","00:23:37,848"
305,"Everywhere else, that story kills.","00:23:38,000","00:23:39,161"
306,That's the whole story?,"00:23:39,280","00:23:40,520"
307,"Yeah, it's a War Machine story.","00:23:40,680","00:23:42,170"
308,"It's very good, then.","00:23:42,680","00:23:44,364"
309,It's impressive.,"00:23:44,480","00:23:45,766"
310,Quality save.,"00:23:46,160","00:23:47,650"
311,"- So, no Pepper? She's not coming?","00:23:48,520","00:23:50,568"
312,What about Jane?,"00:23:50,680","00:23:53,763"
313,Ms Potts has a company to run.,"00:23:53,880","00:23:56,360"
314,"Yes, I'm not even sure","00:23:56,520","00:23:58,761"
315,Her work on the Convergence,"00:23:58,880","00:24:00,006"
316,has made her,"00:24:00,120","00:24:01,880"
317,And the company that Pepper runs,"00:24:02,080","00:24:03,730"
318,is the largest tech conglomerate,"00:24:03,840","00:24:07,050"
319,There's even talk of Jane,"00:24:07,200","00:24:10,044"
320,"Yeah, they must be busy,","00:24:10,200","00:24:11,486"
321,because they would hate,"00:24:11,600","00:24:14,171"
322,- Testosterone!,"00:24:15,200","00:24:16,964"
323,- Excuse me.,"00:24:17,160","00:24:18,366"
324,But Jane's better.,"00:24:21,000","00:24:22,126"
325,Sounds like a hell of a fight.,"00:24:22,560","00:24:25,131"
326,If I had known,"00:24:25,240","00:24:26,765"
327,I absolutely would have called.,"00:24:26,880","00:24:28,120"
328,"No, no. I'm not actually sorry.","00:24:28,240","00:24:31,565"
329,I'm very happy chasing cold leads,"00:24:32,160","00:24:35,843"
330,Avenging is your world.,"00:24:36,800","00:24:38,723"
331,Your world is crazy.,"00:24:39,880","00:24:41,723"
332,Be it ever so humble.,"00:24:41,880","00:24:43,370"
333,You find a place in Brooklyn yet?,"00:24:43,880","00:24:45,245"
334,I don't think,"00:24:45,400","00:24:47,240"
335,"Well, home is home, you know?","00:24:47,880","00:24:49,041"
336,"I fly right up to the general's palace,","00:24:52,960","00:24:55,406"
337,"I'm, like, ""Boom. You looking for this?""","00:24:55,560","00:24:57,160"
338,I gotta have some of that.,"00:25:02,960","00:25:04,121"
339,"No, no, no. See this...","00:25:04,240","00:25:06,234"
340,"This was aged for 1,000 years","00:25:06,319","00:25:09,006"
341,in the barrels built,"00:25:09,120","00:25:11,930"
342,It is not meant for mortal men.,"00:25:12,080","00:25:13,764"
343,"Neither was Omaha Beach, blondie.","00:25:13,880","00:25:15,882"
344,Stop trying to scare us. Come on.,"00:25:16,000","00:25:18,287"
345,All right.,"00:25:20,120","00:25:21,565"
346,Excelsior.,"00:25:25,480","00:25:27,926"
347,How'd a nice girl like you,"00:25:34,800","00:25:38,122"
348,Fella done me wrong.,"00:25:39,680","00:25:41,648"
349,"You got lousy taste in men, kid.","00:25:42,640","00:25:44,802"
350,He's not so bad.,"00:25:45,280","00:25:47,203"
351,"Well, he has a temper.","00:25:48,280","00:25:50,408"
352,"Deep down, he's all fluff.","00:25:50,520","00:25:52,488"
353,"Fact is, he's not like anybody","00:25:54,520","00:25:56,602"
354,All my friends are fighters.,"00:25:59,760","00:26:01,683"
355,"And here comes this guy,","00:26:04,520","00:26:06,488"
356,spends his life avoiding the fight,"00:26:07,800","00:26:11,011"
357,- Sounds amazing.,"00:26:11,840","00:26:14,491"
358,Chicks dig that.,"00:26:16,640","00:26:18,290"
359,So what do you think?,"00:26:19,880","00:26:23,123"
360,or run with it?,"00:26:23,240","00:26:24,446"
361,"Run with it, right? Or did he... Was he...","00:26:26,000","00:26:28,844"
362,What did he do,"00:26:28,960","00:26:32,123"
363,Not a damn thing.,"00:26:32,800","00:26:34,564"
364,But never say never.,"00:26:36,120","00:26:38,043"
365,It's nice.,"00:26:42,200","00:26:43,440"
366,What is?,"00:26:43,560","00:26:44,766"
367,You and Romanoff.,"00:26:44,880","00:26:45,881"
368,"No, we haven't... That wasn't...","00:26:46,040","00:26:47,121"
369,It's okay.,"00:26:47,240","00:26:48,287"
370,Nobody's breaking any bylaws.,"00:26:48,400","00:26:50,448"
371,It's just she's not the most,"00:26:50,560","00:26:53,882"
372,But with you she seems very relaxed.,"00:26:54,520","00:26:56,045"
373,"No. Natasha, she's just...","00:26:56,440","00:26:59,728"
374,"I've seen her flirt, up close.","00:27:00,360","00:27:02,647"
375,This ain't that.,"00:27:03,680","00:27:04,727"
376,"Look,","00:27:06,680","00:27:08,091"
377,as maybe the world's leading authority,"00:27:08,200","00:27:12,007"
378,You both deserve a win.,"00:27:13,720","00:27:15,131"
379,"What do you mean ""up close""?","00:27:20,400","00:27:21,520"
380,- But it's a trick.,"00:27:23,360","00:27:25,886"
381,"""Whosoever be he worthy","00:27:26,080","00:27:29,289"
382,"Whatever, man! It's a trick.","00:27:29,400","00:27:30,526"
383,"Please, be my guest.","00:27:31,920","00:27:33,206"
384,- Come on.,"00:27:34,720","00:27:35,767"
385,Yeah.,"00:27:35,920","00:27:37,046"
386,This is gonna be beautiful.,"00:27:37,560","00:27:38,527"
387,"Clint, you've had a tough week.","00:27:38,600","00:27:39,647"
388,We won't hold it against you,"00:27:39,800","00:27:41,245"
389,"You know I've seen this before, right?","00:27:41,400","00:27:43,164"
390,I still don't know how you do it!,"00:27:46,280","00:27:49,090"
391,Smell the silent judgement?,"00:27:49,600","00:27:50,680"
392,"Please, Stark, by all means.","00:27:50,760","00:27:51,880"
393,Okay.,"00:27:53,800","00:27:54,847"
394,Never one to shrink,"00:27:56,440","00:27:58,442"
395,- Get after it.,"00:27:58,600","00:28:00,090"
396,Physics.,"00:28:00,280","00:28:01,281"
397,"Right, so, if I lift it, I then rule Asgard?","00:28:01,400","00:28:03,767"
398,"Yes, of course.","00:28:03,920","00:28:05,445"
399,I will be reinstituting prima nocta.,"00:28:05,600","00:28:07,967"
400,I'll be right back.,"00:28:12,920","00:28:14,206"
401,Are you even pulling?,"00:28:21,560","00:28:22,607"
402,Are you on my team?,"00:28:22,760","00:28:23,807"
403,Just represent. Pull.,"00:28:23,960","00:28:24,961"
404,"All right, let's go.","00:28:25,080","00:28:26,286"
405,"Go ahead, Steve. No pressure.","00:28:36,520","00:28:38,170"
406,"Come on, Cap.","00:28:41,040","00:28:42,371"
407,Nothing.,"00:28:50,560","00:28:52,369"
408,"And, Widow?","00:28:53,680","00:28:55,330"
409,"No, no.","00:28:55,480","00:28:57,642"
410,All deference to the Man Who,"00:28:57,840","00:29:00,411"
411,You bet your ass.,"00:29:00,640","00:29:01,766"
412,"- Steve, he said a bad language word.","00:29:01,880","00:29:04,486"
413,"The handle's imprinted, right?","00:29:04,600","00:29:06,640"
414,"""Whosoever is carrying","00:29:06,680","00:29:08,360"
415,"is, I think, the literal translation.","00:29:08,480","00:29:09,811"
416,"Yes. It's a very, very interesting theory.","00:29:09,920","00:29:13,367"
417,I have a simpler one.,"00:29:13,840","00:29:15,330"
418,You're all not worthy.,"00:29:16,960","00:29:17,961"
419,Come on!,"00:29:19,400","00:29:20,526"
420,Worthy.,"00:29:24,680","00:29:29,925"
421,No.,"00:29:35,040","00:29:36,565"
422,How could you be worthy?,"00:29:38,520","00:29:40,045"
423,You're all killers.,"00:29:42,000","00:29:43,161"
424,- Stark.,"00:29:43,760","00:29:45,046"
425,"I'm sorry, I was asleep.","00:29:45,360","00:29:47,408"
426,Or I was a-dream.,"00:29:47,520","00:29:49,921"
427,Reboot Legionnaire OS.,"00:29:50,320","00:29:52,641"
428,There was this terrible noise.,"00:29:52,760","00:29:54,649"
429,And I was tangled in...,"00:29:54,760","00:29:57,206"
430,In...,"00:29:57,360","00:29:58,930"
431,Strings.,"00:29:59,080","00:30:00,286"
432,I had to kill the other guy.,"00:30:01,160","00:30:04,289"
433,You killed someone?,"00:30:04,600","00:30:05,726"
434,Wouldn't have been my first call.,"00:30:05,840","00:30:07,285"
435,"But, down in the real world,","00:30:08,040","00:30:11,761"
436,Who sent you?,"00:30:11,920","00:30:12,967"
437,I see a suit of armour around the world.,"00:30:13,440","00:30:15,522"
438,- Ultron.,"00:30:17,520","00:30:19,284"
439,"Or, no, not yet.","00:30:19,720","00:30:21,688"
440,Not this chrysalis.,"00:30:22,040","00:30:24,520"
441,But I'm ready.,"00:30:25,040","00:30:26,280"
442,I'm on mission.,"00:30:27,440","00:30:29,408"
443,- What mission?,"00:30:29,560","00:30:32,609"
444,Rhodey!,"00:30:46,400","00:30:47,401"
445,Sorry.,"00:30:56,800","00:30:57,847"
446,- Don't turn green.,"00:30:58,000","00:30:59,160"
447,Come on!,"00:31:12,760","00:31:14,046"
448,- Stark!,"00:31:31,680","00:31:32,966"
449,"One sec. One sec, I got this.","00:31:33,160","00:31:34,161"
450,We are here to help.,"00:31:34,280","00:31:35,281"
451,Please back away.,"00:31:38,000","00:31:40,241"
452,Thor!,"00:31:44,480","00:31:45,561"
453,...is unsafe. ...is unsafe...,"00:31:46,640","00:31:48,244"
454,- Come on! That's the one.,"00:31:48,360","00:31:50,249"
455,"Hey, Cap!","00:31:54,840","00:31:56,001"
456,That was dramatic.,"00:32:02,160","00:32:03,446"
457,"I'm sorry, I know you mean well.","00:32:05,000","00:32:07,571"
458,You just didn't think it through.,"00:32:07,680","00:32:09,444"
459,You want to protect the world,"00:32:10,800","00:32:14,527"
460,How is humanity saved,"00:32:15,240","00:32:17,368"
461,if it's not allowed to evolve?,"00:32:17,520","00:32:20,524"
462,With these? These puppets.,"00:32:22,520","00:32:25,569"
463,There's only one path to peace.,"00:32:28,560","00:32:31,166"
