,lines,start,end
1397,Sokovia.,"01:35:22,800","01:35:23,961"
1398,"He's got Nat there, too.","01:35:24,080","01:35:25,161"
1399,"If we're wrong about you,","01:35:27,320","01:35:28,970"
1400,if you're the monster,"01:35:31,640","01:35:33,640"
1401,What will you do?,"01:35:34,160","01:35:35,685"
1402,I don't want to kill Ultron.,"01:35:42,320","01:35:44,402"
1403,He's unique and he's in pain.,"01:35:44,800","01:35:48,122"
1404,But that pain will roll over the Earth.,"01:35:49,680","01:35:52,251"
1405,"So, he must be destroyed.","01:35:52,800","01:35:55,087"
1406,"Every form he's built,","01:35:55,320","01:35:58,244"
1407,We have to act now.,"01:35:58,520","01:36:00,170"
1408,And not one of us,"01:36:00,600","01:36:04,525"
1409,Maybe I am a monster.,"01:36:06,520","01:36:08,443"
1410,I don't think I'd know if I were one.,"01:36:08,600","01:36:10,841"
1411,"I'm not what you are,","01:36:12,000","01:36:13,604"
1412,and not what you intended.,"01:36:14,280","01:36:16,442"
1413,"So, there may be no way","01:36:17,200","01:36:19,680"
1414,But we need to go.,"01:36:19,960","01:36:21,371"
1415,Right.,"01:36:36,160","01:36:37,321"
1416,Well done.,"01:36:37,960","01:36:39,200"
1417,Three minutes.,"01:36:40,960","01:36:42,007"
1418,Get what you need.,"01:36:42,720","01:36:44,370"
1419,"Good evening, boss.","01:37:00,200","01:37:01,247"
1420,No way we all get through this.,"01:37:06,400","01:37:08,084"
1421,If even one tin soldier,"01:37:08,200","01:37:10,280"
1422,There's gonna be blood on the floor.,"01:37:11,000","01:37:12,440"
1423,I got no plans tomorrow night.,"01:37:12,480","01:37:13,891"
1424,I get first crack at the big guy.,"01:37:14,000","01:37:15,320"
1425,Iron Man's the one he's waiting for.,"01:37:15,760","01:37:17,250"
1426,That's true. He hates you the most.,"01:37:17,360","01:37:19,761"
1427,Ultron knows we're coming.,"01:37:25,080","01:37:27,242"
1428,Odds are we'll be riding into heavy fire.,"01:37:27,520","01:37:29,727"
1429,And that's what we signed up for.,"01:37:30,240","01:37:31,969"
1430,"But the people of Sokovia, they didn't.","01:37:32,240","01:37:34,766"
1431,So our priority,"01:37:35,880","01:37:37,370"
1432,is getting them out.,"01:37:38,080","01:37:39,161"
1433,We're under attack! Clear the city! Now!,"01:37:39,400","01:37:42,324"
1434,Get off your asses.,"01:37:50,120","01:37:51,565"
1435,All they want,"01:37:52,800","01:37:54,723"
1436,And that's not gonna happen today.,"01:37:55,280","01:37:56,640"
1437,But we can do our best to protect them.,"01:37:58,280","01:38:00,009"
1438,And we can get the job done.,"01:38:00,720","01:38:02,245"
1439,"We find out what Ultron's been building,","01:38:05,640","01:38:07,927"
1440,"we find Romanoff,","01:38:08,880","01:38:10,484"
1441,and we clear the field.,"01:38:10,960","01:38:12,803"
1442,Keep the fight between us.,"01:38:14,240","01:38:16,163"
1443,Ultron thinks we're monsters.,"01:38:22,880","01:38:25,281"
1444,That we're what's wrong with the world.,"01:38:25,800","01:38:28,201"
1445,This isn't just about beating him.,"01:38:28,320","01:38:30,641"
1446,It's about whether he's right.,"01:38:31,160","01:38:33,208"
1447,Natasha!,"01:38:39,680","01:38:40,727"
1448,Natasha!,"01:38:41,840","01:38:42,841"
1449,Bruce?,"01:38:43,000","01:38:44,081"
1450,You all right?,"01:38:45,520","01:38:46,521"
1451,Yeah.,"01:38:46,680","01:38:47,727"
1452,The team is in the city.,"01:38:47,840","01:38:49,569"
1453,I don't suppose you found,"01:38:49,680","01:38:51,840"
1454,Yeah. I did.,"01:38:52,160","01:38:54,288"
1455,So what's our play?,"01:39:00,680","01:39:01,841"
1456,I'm here to get you to safety.,"01:39:02,040","01:39:03,405"
1457,- Job's not finished.,"01:39:04,160","01:39:06,686"
1458,but I can't be in a fight near civilians.,"01:39:06,840","01:39:08,683"
1459,And you've done plenty.,"01:39:10,040","01:39:11,201"
1460,Our fight is over.,"01:39:13,600","01:39:15,090"
1461,"So, we just disappear?","01:39:16,480","01:39:18,721"
1462,Come on.,"01:39:22,880","01:39:24,723"
1463,Your man's,"01:39:29,520","01:39:31,761"
1464,I think he's waiting for you.,"01:39:31,880","01:39:33,723"
1465,Come to confess your sins?,"01:39:37,800","01:39:39,848"
1466,I don't know. How much time you got?,"01:39:39,960","01:39:41,200"
1467,More than you.,"01:39:41,360","01:39:42,850"
1468,Have you been juicing?,"01:39:45,240","01:39:48,050"
1469,You're looking...,"01:39:48,160","01:39:50,447"
1470,You're stalling to protect the people.,"01:39:50,560","01:39:52,289"
1471,"Well, that is the mission. Did you forget?","01:39:52,680","01:39:55,524"
1472,I've moved beyond,"01:39:55,840","01:39:58,320"
1473,What?,"01:40:03,080","01:40:04,127"
1474,You think you were,"01:40:05,040","01:40:07,361"
1475,There's the rest,"01:40:08,080","01:40:09,730"
1476,"Function, still unclear.","01:40:09,840","01:40:11,251"
1477,"This is how you end, Tony.","01:40:11,440","01:40:12,601"
1478,This is peace in my time.,"01:40:13,880","01:40:15,644"
1479,Go!,"01:40:32,360","01:40:33,407"
1480,Get off the bridge!,"01:40:38,960","01:40:40,291"
1481,Run!,"01:40:44,440","01:40:45,441"
1482,Ultron.,"01:40:47,440","01:40:49,249"
1483,My Vision.,"01:40:54,760","01:40:55,966"
1484,They really did take everything from me.,"01:40:56,200","01:40:58,487"
1485,You set the terms.,"01:40:58,640","01:41:00,688"
1486,All right.,"01:41:00,800","01:41:02,040"
1487,"Friday, the Vision?","01:41:26,240","01:41:27,480"
1488,"Boss, it's working.","01:41:27,640","01:41:29,800"
1489,He won't escape through there.,"01:41:29,840","01:41:31,040"
1490,You shut me out.,"01:41:36,120","01:41:37,451"
1491,You think I care?,"01:41:37,920","01:41:39,126"
1492,"You take away my world,","01:41:41,120","01:41:42,326"
1493,I take away yours.,"01:41:43,200","01:41:44,929"
1494,Friday.,"01:42:29,480","01:42:30,686"
1495,Sokovia is going for a ride.,"01:42:30,800","01:42:33,246"
1496,Do you see,"01:42:45,760","01:42:47,250"
1497,the beauty of it?,"01:42:47,720","01:42:49,245"
1498,The inevitability.,"01:42:49,840","01:42:51,683"
1499,"You rise, only to fall.","01:42:51,920","01:42:55,163"
1500,"You, Avengers, you are my meteor.","01:42:57,920","01:43:00,764"
1501,My swift and terrible sword.,"01:43:01,680","01:43:03,409"
1502,And the earth will crack,"01:43:03,600","01:43:05,090"
1503,with the weight of your failure.,"01:43:05,280","01:43:07,203"
1504,"Purge me from your computers,","01:43:08,880","01:43:12,646"
1505,It means nothing.,"01:43:13,120","01:43:14,531"
1506,"When the dust settles,","01:43:15,600","01:43:16,965"
1507,the only thing living in this world,"01:43:17,120","01:43:19,009"
1508,will be metal.,"01:43:19,520","01:43:20,521"
1509,We gotta move.,"01:43:25,080","01:43:26,650"
1510,You're not gonna turn green?,"01:43:26,960","01:43:28,080"
1511,I've got a compelling reason,"01:43:28,280","01:43:30,200"
1512,I adore you.,"01:43:31,360","01:43:32,646"
1513,But I need the other guy.,"01:43:41,280","01:43:43,203"
1514,Let's finish the job.,"01:43:48,040","01:43:49,804"
1515,I really hope this makes us even.,"01:44:06,600","01:44:08,011"
1516,Now go be a hero.,"01:44:10,320","01:44:12,368"
1517,The vibranium core's,"01:44:20,840","01:44:22,763"
1518,That's what's keeping the rock together.,"01:44:22,920","01:44:24,922"
1519,If it drops?,"01:44:25,040","01:44:26,087"
1520,"Right now, the impact","01:44:26,160","01:44:27,491"
1521,Once it gets high enough?,"01:44:27,560","01:44:30,291"
1522,That building's not clear. The 10th floor.,"01:44:34,600","01:44:36,682"
1523,Hi.,"01:44:41,560","01:44:42,561"
1524,Okay. Get in the tub!,"01:44:43,680","01:44:46,047"
1525,"I got airborne,","01:44:52,880","01:44:54,723"
1526,"Cap, you got incoming.","01:44:57,520","01:44:58,726"
1527,Incoming already came in.,"01:44:58,880","01:45:00,530"
1528,"Stark, you worry about","01:45:03,200","01:45:05,680"
1529,"The rest of us have one job,","01:45:06,400","01:45:08,209"
1530,tear these things apart.,"01:45:08,360","01:45:09,521"
1531,"You get hurt, hurt them back.","01:45:09,840","01:45:11,444"
1532,"You get killed,","01:45:12,120","01:45:13,281"
1533,walk it off.,"01:45:14,320","01:45:15,606"
1534,"Go, go, go!","01:45:50,040","01:45:51,246"
1535,How could I let this happen?,"01:45:56,920","01:45:58,684"
1536,"- Hey, hey, you okay?","01:45:58,800","01:46:00,848"
1537,"Hey, look at me.","01:46:01,040","01:46:03,240"
1538,Who cares?,"01:46:03,280","01:46:04,327"
1539,Are you up for this?,"01:46:04,440","01:46:05,965"
1540,Are you?,"01:46:06,080","01:46:07,161"
1541,"Look, I just need to know.","01:46:07,400","01:46:10,807"
1542,"Okay. Look, the city is flying,","01:46:11,120","01:46:15,003"
1543,and I have a bow and arrow.,"01:46:15,920","01:46:17,126"
1544,None of this makes sense.,"01:46:17,280","01:46:18,361"
1545,But I'm going back out there,"01:46:21,640","01:46:23,768"
1546,Okay? And I can't do my job and babysit.,"01:46:24,640","01:46:27,291"
1547,It doesn't matter,"01:46:27,440","01:46:30,444"
1548,"If you go out there, you fight,","01:46:30,640","01:46:33,246"
1549,"Stay in here, you're good.","01:46:34,280","01:46:36,920"
1550,"But if you step out that door,","01:46:36,960","01:46:38,803"
1551,you are an Avenger.,"01:46:39,720","01:46:40,721"
1552,All right. Good chat.,"01:46:45,600","01:46:47,409"
1553,"Yeah, the city is flying.","01:46:51,160","01:46:52,207"
1554,I got you!,"01:47:26,200","01:47:27,361"
1555,Just look at me!,"01:47:27,680","01:47:28,920"
1556,You can't save them all.,"01:47:35,680","01:47:37,011"
1557,You'll never...,"01:47:38,360","01:47:39,407"
1558,"""Never"" what? You didn't finish!","01:47:40,680","01:47:43,126"
1559,"What, were you napping?","01:47:46,880","01:47:48,450"
1560,Thor.,"01:48:09,920","01:48:11,001"
1561,You're bothering me.,"01:48:13,600","01:48:15,204"
1562,"All right, we're all clear here.","01:48:50,600","01:48:51,880"
1563,We are not clear!,"01:48:51,960","01:48:53,007"
1564,We are very not clear!,"01:48:53,120","01:48:54,531"
1565,"All right, coming to you.","01:48:57,600","01:48:58,931"
1566,"Keep up, old man!","01:48:59,400","01:49:01,482"
1567,Nobody would know.,"01:49:03,240","01:49:04,765"
1568,Nobody.,"01:49:05,600","01:49:06,647"
1569,"""The last I saw him,","01:49:08,600","01:49:11,524"
1570,"""Yeah, he'll be missed,","01:49:11,640","01:49:13,529"
1571,"""I miss him already.""","01:49:13,600","01:49:14,601"
1572,Hold your fire!,"01:49:30,160","01:49:31,321"
1573,Romanoff!,"01:49:41,200","01:49:42,247"
1574,Thanks!,"01:49:42,760","01:49:43,761"
1575,The anti-gravs,"01:49:53,160","01:49:54,764"
1576,"Touch them, they'll go","01:49:54,880","01:49:57,042"
1577,The city's not coming down slow.,"01:49:57,160","01:49:58,605"
1578,Spire is vibranium.,"01:49:58,720","01:49:59,846"
1579,If I get Thor to hit it...,"01:49:59,960","01:50:01,086"
1580,It will crack. That's not enough.,"01:50:01,360","01:50:02,725"
1581,The impact would still be devastating.,"01:50:02,840","01:50:04,365"
1582,Maybe if we can cap the other end.,"01:50:04,520","01:50:05,880"
1583,Keep the atomic action doubling back.,"01:50:06,040","01:50:07,690"
1584,That could vaporise the city.,"01:50:07,840","01:50:09,205"
1585,And everyone on it.,"01:50:10,200","01:50:12,043"
1586,The next wave,"01:50:17,880","01:50:19,723"
1587,"- What do you got, Stark?","01:50:19,880","01:50:21,848"
1588,Maybe a way to blow up the city.,"01:50:22,640","01:50:24,881"
1589,That'll keep it,"01:50:25,000","01:50:26,286"
1590,if you guys can get clear.,"01:50:26,400","01:50:27,447"
1591,"I asked for a solution,","01:50:27,720","01:50:29,609"
1592,Impact radius,"01:50:29,840","01:50:32,730"
1593,We're gonna have to make a choice.,"01:50:32,920","01:50:34,285"
1594,"Cap, these people are going nowhere.","01:50:35,040","01:50:36,565"
1595,- If Stark finds a way to blow this rock...,"01:50:37,400","01:50:40,200"
1596,Everyone up here versus everyone,"01:50:40,600","01:50:43,604"
1597,I'm not leaving this rock,"01:50:43,840","01:50:45,800"
1598,I didn't say we should leave.,"01:50:45,840","01:50:47,285"
1599,There's worse ways to go.,"01:50:50,120","01:50:51,929"
1600,Where else am I gonna get,"01:50:57,400","01:50:59,846"
1601,Glad,"01:51:00,720","01:51:03,326"
1602,It's about to get better.,"01:51:03,440","01:51:05,044"
1603,"Nice, right?","01:51:29,160","01:51:30,366"
1604,Pulled her out of mothballs,"01:51:30,480","01:51:32,926"
1605,"She's dusty, but she'll do.","01:51:33,080","01:51:34,730"
1606,"Fury, you son of a bitch.","01:51:35,080","01:51:36,525"
1607,Ooh! You kiss your mother,"01:51:36,680","01:51:38,967"
1608,"Altitude is 18,000 and climbing.","01:51:39,080","01:51:41,287"
1609,Lifeboats secure to deploy.,"01:51:41,440","01:51:42,965"
1610,"Disengage in three, two...","01:51:43,080","01:51:45,765"
1611,Take them out.,"01:51:46,960","01:51:47,961"
1612,This is S.H.I.E.L.D.?,"01:51:57,640","01:51:59,165"
1613,This is what S.H.I.E.L.D.,"01:51:59,280","01:52:01,726"
1614,This is not so bad.,"01:52:03,400","01:52:04,811"
1615,Let's load them up.,"01:52:08,080","01:52:09,411"
1616,"Sir, we have multiple bogies","01:52:14,800","01:52:18,641"
1617,Show 'em what we got.,"01:52:19,000","01:52:20,206"
1618,You're up.,"01:52:20,560","01:52:21,561"
1619,Yes!,"01:52:26,840","01:52:27,841"
1620,Now this is gonna be a good story.,"01:52:28,080","01:52:29,844"
1621,Yup. If you live to tell it.,"01:52:32,480","01:52:34,562"
1622,You think I can't hold my own?,"01:52:34,720","01:52:36,722"
1623,"We get through this, I'll hold your own.","01:52:36,840","01:52:38,440"
1624,You had to make it weird.,"01:52:38,520","01:52:40,363"
1625,I got about 50 to 100 more,"01:52:45,200","01:52:48,170"
1626,Here we go. Here we go. Let's move.,"01:53:05,120","01:53:06,531"
1627,"Let's go, everyone!","01:53:06,880","01:53:07,961"
1628,Number six boat is topped and locked...,"01:53:10,480","01:53:12,482"
1629,Or stocked... Topped...,"01:53:12,600","01:53:15,001"
1630,It's full of people.,"01:53:15,520","01:53:16,965"
1631,Incoming!,"01:53:18,720","01:53:19,801"
1632,"Oh, God!","01:53:22,840","01:53:23,887"
1633,You think,"01:53:34,400","01:53:35,640"
1634,I turn that key and,"01:53:37,520","01:53:39,522"
1635,and it's still billions dead.,"01:53:39,680","01:53:41,762"
1636,Even you can't stop that.,"01:53:42,240","01:53:43,401"
1637,"I am Thor, son of Odin,","01:53:43,560","01:53:45,961"
1638,and as long as,"01:53:46,080","01:53:48,401"
1639,I am running out of things to say!,"01:53:48,520","01:53:52,081"
1640,It's terribly well-balanced.,"01:53:59,760","01:54:00,886"
1641,"Well, if there's too much weight,","01:54:01,240","01:54:04,722"
1642,I got it. Create a heat seal.,"01:54:05,680","01:54:08,331"
1643,I could...,"01:54:08,760","01:54:09,807"
1644,I could supercharge,"01:54:09,880","01:54:12,281"
1645,Running numbers.,"01:54:12,440","01:54:13,487"
1646,A heat seal could work,"01:54:23,600","01:54:25,284"
1647,"- Thor, I got a plan.","01:54:25,760","01:54:27,762"
1648,They're coming for the core.,"01:54:27,960","01:54:29,166"
1649,"Rhodey, get the rest of the people","01:54:29,280","01:54:31,089"
1650,- On it.,"01:54:31,240","01:54:34,449"
1651,- Are you good?,"01:54:43,560","01:54:44,800"
1652,Romanoff.,"01:54:46,280","01:54:47,327"
1653,You and Banner better not be,"01:54:47,480","01:54:49,881"
1654,"Relax, shellhead.","01:54:49,960","01:54:51,041"
1655,Not all of us can fly.,"01:54:51,440","01:54:52,885"
1656,- What's the drill?,"01:54:58,640","01:55:00,324"
1657,If Ultron gets a hand,"01:55:00,480","01:55:02,642"
1658,Is that the best you can do?,"01:55:07,240","01:55:09,242"
1659,You had to ask.,"01:55:19,120","01:55:20,690"
1660,This is the best I can do.,"01:55:20,800","01:55:23,121"
1661,This is exactly what I wanted.,"01:55:23,240","01:55:24,890"
1662,All of you,"01:55:25,240","01:55:26,571"
1663,against all of me.,"01:55:26,680","01:55:28,330"
1664,How can you possibly hope to stop me?,"01:55:28,600","01:55:30,807"
1665,"Well, like the old man said...","01:55:31,680","01:55:33,523"
1666,Together.,"01:55:34,840","01:55:35,841"
1667,"You know, with the benefit of hindsight...","01:57:04,760","01:57:07,161"
1668,They'll try to leave the city.,"01:57:16,440","01:57:17,441"
1669,"We can't let them,","01:57:17,600","01:57:19,284"
1670,I'm on it.,"01:57:19,640","01:57:20,721"
1671,No. I didn't say you could leave.,"01:57:21,120","01:57:22,485"
1672,War Machine coming at you! Right...,"01:57:23,120","01:57:25,202"
1673,"Okay, what?","01:57:31,600","01:57:32,965"
1674,We gotta move out.,"01:57:33,200","01:57:35,202"
1675,You guys get to the boats.,"01:57:35,360","01:57:36,646"
1676,I'll sweep for stragglers.,"01:57:36,800","01:57:38,640"
1677,- What about the core?,"01:57:38,800","01:57:41,246"
1678,It's my job.,"01:57:43,040","01:57:44,201"
1679,Nat.,"01:57:45,320","01:57:46,481"
1680,This way.,"01:57:46,760","01:57:47,761"
1681,Get the people on the boats.,"01:57:52,160","01:57:53,321"
1682,I'm not going to leave you here.,"01:57:53,480","01:57:54,481"
1683,I can handle this.,"01:57:54,640","01:57:55,687"
1684,Come back for me,"01:57:58,000","01:57:59,240"
1685,Not before.,"01:57:59,480","01:58:00,970"
1686,You understand?,"01:58:01,600","01:58:02,726"
1687,"You know,","01:58:03,760","01:58:05,444"
1688,Go.,"01:58:05,840","01:58:06,921"
1689,"Boss, power levels are way below...","01:58:08,480","01:58:10,005"
1690,Reroute everything.,"01:58:10,120","01:58:12,282"
1691,I know what I need to do.,"01:58:17,240","01:58:18,526"
1692,The dining room.,"01:58:18,840","01:58:19,887"
1693,"If I knock out that east wall,","01:58:20,160","01:58:21,366"
1694,it'd make a nice workspace,"01:58:22,080","01:58:23,720"
1695,Put up some baffling.,"01:58:25,200","01:58:26,361"
1696,She can't hear the kids running around.,"01:58:26,480","01:58:28,761"
1697,You guys always eat,"01:58:28,800","01:58:29,881"
1698,No one eats in a dining room.,"01:58:30,040","01:58:31,565"
1699,We don't have a lot of time.,"01:58:37,240","01:58:38,360"
1700,So get your ass on a boat.,"01:58:38,960","01:58:40,928"
1701,"Hey, big guy.","01:58:53,880","01:58:55,006"
1702,Sun's getting real low.,"01:58:56,800","01:58:58,564"
1703,You're safe now.,"01:58:59,080","01:59:01,731"
1704,"Secure your gear, find a seat.","01:59:04,280","01:59:05,850"
1705,Costel!,"01:59:05,960","01:59:07,246"
1706,We were in the market.,"01:59:08,320","01:59:09,446"
1707,Costel!,"01:59:09,560","01:59:10,607"
1708,"Thor, I'm gonna","01:59:25,320","01:59:27,368"
1709,- Is this the last of them?,"01:59:27,480","01:59:28,925"
1710,- Everyone else is on the carrier.,"01:59:29,360","01:59:31,641"
1711,we maybe don't walk away.,"01:59:32,240","01:59:33,651"
1712,Maybe not.,"01:59:34,360","01:59:35,361"
1713,"I got no strings, so I have fun","01:59:54,600","01:59:58,127"
1714,I'm not tied up to anyone,"01:59:58,600","02:00:01,285"
1715,Come on. Time to go.,"02:00:02,880","02:00:04,211"
1716,You didn't see that coming?,"02:00:36,640","02:00:38,688"
1717,For God's sake.,"02:01:34,960","02:01:36,724"
1718,- Zrinka!,"02:01:53,000","02:01:54,764"
1719,"No, no, I'm fine.","02:02:07,240","02:02:08,241"
1720,Fine.,"02:02:08,400","02:02:09,401"
1721,It's been a long day.,"02:02:11,240","02:02:13,288"
1722,Wanda.,"02:02:27,840","02:02:29,046"
1723,"If you stay here, you'll die.","02:02:29,760","02:02:33,003"
1724,I just did.,"02:02:34,600","02:02:35,965"
1725,Do you know how it felt?,"02:02:36,760","02:02:38,524"
1726,It felt like that.,"02:02:52,600","02:02:54,967"
1727,"Thor, on my mark.","02:03:29,960","02:03:31,610"
1728,Now!,"02:03:46,680","02:03:47,681"
1729,"Hey, big guy. We did it.","02:04:15,680","02:04:18,126"
1730,The job is finished.,"02:04:19,160","02:04:20,844"
1731,Now I need you to turn,"02:04:21,040","02:04:23,725"
1732,We can't track you in stealth mode.,"02:04:28,040","02:04:29,849"
1733,So help me out. I need you...,"02:04:31,960","02:04:34,088"
1734,You're afraid.,"02:05:19,760","02:05:20,761"
1735,Of you?,"02:05:21,760","02:05:22,841"
1736,Of death.,"02:05:23,520","02:05:24,681"
1737,You're the last one.,"02:05:25,400","02:05:27,209"
1738,You were supposed to be the last.,"02:05:27,440","02:05:29,886"
1739,Stark asked for a saviour,"02:05:30,120","02:05:32,407"
1740,and settled for a slave.,"02:05:33,440","02:05:35,124"
1741,I suppose we are both disappointments.,"02:05:35,240","02:05:37,641"
1742,I suppose we are.,"02:05:40,120","02:05:41,360"
1743,Humans are odd.,"02:05:42,080","02:05:43,241"
1744,They think order and chaos,"02:05:45,080","02:05:48,721"
1745,and try to control what won't be.,"02:05:50,480","02:05:51,811"
1746,But there is grace in their failings.,"02:05:53,520","02:05:55,966"
1747,I think you missed that.,"02:05:56,280","02:05:58,203"
1748,They're doomed.,"02:05:58,880","02:05:59,961"
1749,Yes.,"02:06:00,880","02:06:01,927"
1750,But a thing isn't beautiful,"02:06:06,160","02:06:09,084"
1751,It's a privilege to be among them.,"02:06:11,160","02:06:13,162"
1752,You're unbearably naive.,"02:06:13,400","02:06:15,926"
1753,Well...,"02:06:16,200","02:06:17,406"
1754,I was born yesterday.,"02:06:19,480","02:06:21,528"
1755,Look! Say hi to Auntie Nat!,"02:07:34,160","02:07:36,242"
1756,Fat.,"02:07:37,600","02:07:38,601"
1757,One of our tech boys flagged this.,"02:07:39,720","02:07:41,080"
1758,Splashed down in the Banda Sea.,"02:07:42,200","02:07:44,362"
1759,Could be the Quinjet.,"02:07:45,480","02:07:47,005"
1760,"But with Stark's stealth tech,","02:07:47,360","02:07:50,730"
1761,Right.,"02:07:52,280","02:07:53,645"
1762,Probably jumped out and swam to Fiji.,"02:07:54,080","02:07:56,321"
1763,He'll send a postcard.,"02:07:57,600","02:07:59,489"
1764,"""Wish you were here.""","02:07:59,760","02:08:01,489"
1765,You sent me to recruit him,"02:08:03,440","02:08:06,728"
1766,Did you know then,"02:08:08,560","02:08:11,131"
1767,You never know.,"02:08:13,320","02:08:15,243"
1768,"You hope for the best,","02:08:15,440","02:08:18,967"
1769,I got a great team.,"02:08:19,440","02:08:20,930"
1770,Nothing lasts forever.,"02:08:22,040","02:08:24,008"
1771,"Trouble, Ms Romanoff.","02:08:24,280","02:08:26,328"
1772,"No matter who wins or loses,","02:08:26,560","02:08:29,928"
1773,The rules have changed.,"02:08:33,800","02:08:35,006"
1774,We're dealing with something new.,"02:08:35,200","02:08:36,804"
1775,The Vision is artificial intelligence.,"02:08:36,960","02:08:38,246"
1776,- A machine.,"02:08:38,360","02:08:40,283"
1777,"No, it's not like","02:08:40,480","02:08:42,289"
1778,"Right, different rules for us.","02:08:42,560","02:08:44,210"
1779,- Nice guy. Artificial.,"02:08:44,440","02:08:45,487"
1780,"He can wield the hammer,","02:08:45,680","02:08:48,570"
1781,It's safe with the Vision.,"02:08:49,480","02:08:51,562"
1782,"And these days, safe is in short supply.","02:08:51,800","02:08:54,326"
1783,But if you put the hammer,"02:08:56,360","02:08:58,328"
1784,- It would still go up.,"02:08:58,440","02:09:00,320"
1785,I'm gonna miss these little talks of ours.,"02:09:00,360","02:09:02,169"
1786,Not if you don't leave.,"02:09:02,320","02:09:03,845"
1787,I have no choice.,"02:09:04,080","02:09:05,809"
1788,The Mind Stone is the fourth,"02:09:06,040","02:09:08,202"
1789,to show up in the last few years.,"02:09:08,320","02:09:09,731"
1790,It's not a coincidence.,"02:09:09,840","02:09:11,410"
1791,Someone has been playing,"02:09:12,240","02:09:14,004"
1792,and has made pawns of us.,"02:09:14,160","02:09:15,810"
1793,And once all these pieces,"02:09:15,920","02:09:17,809"
1794,Triple Yahtzee.,"02:09:17,920","02:09:19,331"
1795,You think you can find out,"02:09:19,560","02:09:21,005"
1796,I do.,"02:09:21,120","02:09:22,201"
1797,"Besides this one,","02:09:23,040","02:09:24,530"
1798,there's nothing that can't be explained.,"02:09:24,640","02:09:27,007"
1799,That man has no regard,"02:09:34,320","02:09:36,846"
1800,"I'm gonna miss him, though.","02:09:40,000","02:09:42,606"
1801,There's gonna be a lot of manful tears.,"02:09:42,720","02:09:44,290"
1802,"I will miss you, Tony.","02:09:46,480","02:09:48,130"
1803,Yeah?,"02:09:48,360","02:09:49,361"
1804,"Well, it's time for me to tap out.","02:09:49,520","02:09:51,966"
1805,Maybe I should take a page,"02:09:52,200","02:09:54,362"
1806,"Build Pepper a farm,","02:09:54,520","02:09:57,444"
1807,The simple life.,"02:09:58,240","02:09:59,401"
1808,- You'll get there one day.,"02:09:59,680","02:10:01,967"
1809,"Family, stability...","02:10:02,200","02:10:04,601"
1810,The guy who wanted all that,"02:10:05,760","02:10:08,889"
1811,I think someone else came out.,"02:10:10,400","02:10:12,243"
1812,You all right?,"02:10:16,200","02:10:17,281"
1813,I'm home.,"02:10:19,960","02:10:21,405"
1814,"You wanna keep staring at the wall,","02:10:29,320","02:10:32,085"
1815,"I mean, it's a pretty interesting wall.","02:10:32,240","02:10:33,571"
1816,I thought you and Tony were,"02:10:33,760","02:10:36,764"
1817,How do we look?,"02:10:36,840","02:10:37,887"
1818,"Well, we're not the '27 Yankees.","02:10:38,120","02:10:40,407"
1819,We got some hitters.,"02:10:40,560","02:10:42,244"
1820,They're good. They're not a team.,"02:10:42,400","02:10:44,801"
1821,Let's beat them into shape.,"02:10:44,960","02:10:46,610"
1822,Avengers...,"02:11:05,080","02:11:06,605"
1823,Fine.,"02:13:25,440","02:13:26,885"
1824,I'll do it myself.,"02:13:28,320","02:13:30,163"
